,buying,maint,doors,persons,lug_boot,safety,class
0,vhigh,vhigh,2,2,small,low,unacc
1,vhigh,vhigh,2,2,small,med,unacc
2,vhigh,vhigh,2,2,small,high,unacc
3,vhigh,vhigh,2,2,med,low,unacc
4,vhigh,vhigh,2,2,med,med,unacc
5,vhigh,vhigh,2,2,med,high,unacc
6,vhigh,vhigh,2,2,big,low,unacc
7,vhigh,vhigh,2,2,big,med,unacc
8,vhigh,vhigh,2,2,big,high,unacc
9,vhigh,vhigh,2,4,small,low,unacc
10,vhigh,vhigh,2,4,small,med,unacc
11,vhigh,vhigh,2,4,small,high,unacc
12,vhigh,vhigh,2,4,med,low,unacc
13,vhigh,vhigh,2,4,med,med,unacc
14,vhigh,vhigh,2,4,med,high,unacc
15,vhigh,vhigh,2,4,big,low,unacc
16,vhigh,vhigh,2,4,big,med,unacc
17,vhigh,vhigh,2,4,big,high,unacc
18,vhigh,vhigh,2,more,small,low,unacc
19,vhigh,vhigh,2,more,small,med,unacc
20,vhigh,vhigh,2,more,small,high,unacc
21,vhigh,vhigh,2,more,med,low,unacc
22,vhigh,vhigh,2,more,med,med,unacc
23,vhigh,vhigh,2,more,med,high,unacc
24,vhigh,vhigh,2,more,big,low,unacc
25,vhigh,vhigh,2,more,big,med,unacc
26,vhigh,vhigh,2,more,big,high,unacc
27,vhigh,vhigh,3,2,small,low,unacc
28,vhigh,vhigh,3,2,small,med,unacc
29,vhigh,vhigh,3,2,small,high,unacc
30,vhigh,vhigh,3,2,med,low,unacc
31,vhigh,vhigh,3,2,med,med,unacc
32,vhigh,vhigh,3,2,med,high,unacc
33,vhigh,vhigh,3,2,big,low,unacc
34,vhigh,vhigh,3,2,big,med,unacc
35,vhigh,vhigh,3,2,big,high,unacc
36,vhigh,vhigh,3,4,small,low,unacc
37,vhigh,vhigh,3,4,small,med,unacc
38,vhigh,vhigh,3,4,small,high,unacc
39,vhigh,vhigh,3,4,med,low,unacc
40,vhigh,vhigh,3,4,med,med,unacc
41,vhigh,vhigh,3,4,med,high,unacc
42,vhigh,vhigh,3,4,big,low,unacc
43,vhigh,vhigh,3,4,big,med,unacc
44,vhigh,vhigh,3,4,big,high,unacc
45,vhigh,vhigh,3,more,small,low,unacc
46,vhigh,vhigh,3,more,small,med,unacc
47,vhigh,vhigh,3,more,small,high,unacc
48,vhigh,vhigh,3,more,med,low,unacc
49,vhigh,vhigh,3,more,med,med,unacc
50,vhigh,vhigh,3,more,med,high,unacc
51,vhigh,vhigh,3,more,big,low,unacc
52,vhigh,vhigh,3,more,big,med,unacc
53,vhigh,vhigh,3,more,big,high,unacc
54,vhigh,vhigh,4,2,small,low,unacc
55,vhigh,vhigh,4,2,small,med,unacc
56,vhigh,vhigh,4,2,small,high,unacc
57,vhigh,vhigh,4,2,med,low,unacc
58,vhigh,vhigh,4,2,med,med,unacc
59,vhigh,vhigh,4,2,med,high,unacc
60,vhigh,vhigh,4,2,big,low,unacc
61,vhigh,vhigh,4,2,big,med,unacc
62,vhigh,vhigh,4,2,big,high,unacc
63,vhigh,vhigh,4,4,small,low,unacc
64,vhigh,vhigh,4,4,small,med,unacc
65,vhigh,vhigh,4,4,small,high,unacc
66,vhigh,vhigh,4,4,med,low,unacc
67,vhigh,vhigh,4,4,med,med,unacc
68,vhigh,vhigh,4,4,med,high,unacc
69,vhigh,vhigh,4,4,big,low,unacc
70,vhigh,vhigh,4,4,big,med,unacc
71,vhigh,vhigh,4,4,big,high,unacc
72,vhigh,vhigh,4,more,small,low,unacc
73,vhigh,vhigh,4,more,small,med,unacc
74,vhigh,vhigh,4,more,small,high,unacc
75,vhigh,vhigh,4,more,med,low,unacc
76,vhigh,vhigh,4,more,med,med,unacc
77,vhigh,vhigh,4,more,med,high,unacc
78,vhigh,vhigh,4,more,big,low,unacc
79,vhigh,vhigh,4,more,big,med,unacc
80,vhigh,vhigh,4,more,big,high,unacc
81,vhigh,vhigh,5more,2,small,low,unacc
82,vhigh,vhigh,5more,2,small,med,unacc
83,vhigh,vhigh,5more,2,small,high,unacc
84,vhigh,vhigh,5more,2,med,low,unacc
85,vhigh,vhigh,5more,2,med,med,unacc
86,vhigh,vhigh,5more,2,med,high,unacc
87,vhigh,vhigh,5more,2,big,low,unacc
88,vhigh,vhigh,5more,2,big,med,unacc
89,vhigh,vhigh,5more,2,big,high,unacc
90,vhigh,vhigh,5more,4,small,low,unacc
91,vhigh,vhigh,5more,4,small,med,unacc
92,vhigh,vhigh,5more,4,small,high,unacc
93,vhigh,vhigh,5more,4,med,low,unacc
94,vhigh,vhigh,5more,4,med,med,unacc
95,vhigh,vhigh,5more,4,med,high,unacc
96,vhigh,vhigh,5more,4,big,low,unacc
97,vhigh,vhigh,5more,4,big,med,unacc
98,vhigh,vhigh,5more,4,big,high,unacc
99,vhigh,vhigh,5more,more,small,low,unacc
100,vhigh,vhigh,5more,more,small,med,unacc
101,vhigh,vhigh,5more,more,small,high,unacc
102,vhigh,vhigh,5more,more,med,low,unacc
103,vhigh,vhigh,5more,more,med,med,unacc
104,vhigh,vhigh,5more,more,med,high,unacc
105,vhigh,vhigh,5more,more,big,low,unacc
106,vhigh,vhigh,5more,more,big,med,unacc
107,vhigh,vhigh,5more,more,big,high,unacc
108,vhigh,high,2,2,small,low,unacc
109,vhigh,high,2,2,small,med,unacc
110,vhigh,high,2,2,small,high,unacc
111,vhigh,high,2,2,med,low,unacc
112,vhigh,high,2,2,med,med,unacc
113,vhigh,high,2,2,med,high,unacc
114,vhigh,high,2,2,big,low,unacc
115,vhigh,high,2,2,big,med,unacc
116,vhigh,high,2,2,big,high,unacc
