,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,2
2020-02-20,0
2020-02-21,2
2020-02-22,1
2020-02-23,3
2020-02-24,4
2020-02-25,4
2020-02-26,3
2020-02-27,7
2020-02-28,8
2020-02-29,9
2020-03-01,11
2020-03-02,12
2020-03-03,11
2020-03-04,15
2020-03-05,15
2020-03-06,17
2020-03-07,21
2020-03-08,49
2020-03-09,43
2020-03-10,237
2020-03-11,354
2020-03-12,75
2020-03-13,85
2020-03-14,97
2020-03-15,113
2020-03-16,129
2020-03-17,135
2020-03-18,147
2020-03-19,149
2020-03-20,149
2020-03-21,123
