,0
2020-01-22,17.0
2020-01-23,1.0
2020-01-24,8.0
2020-01-25,16.0
2020-01-26,14.0
2020-01-27,26.0
2020-01-28,49.0
2020-01-29,2.0
2020-01-30,38.0
2020-01-31,42.0
2020-02-01,46.0
2020-02-02,103.0
2020-02-03,64.0
2020-02-04,66.0
2020-02-05,72.0
2020-02-06,70.0
2020-02-07,85.0
2020-02-08,87.0
2020-02-09,100.0
2020-02-10,107.0
2020-02-11,100.0
2020-02-12,5.0
2020-02-13,253.0
2020-02-14,152.0
2020-02-15,143.0
2020-02-16,104.0
2020-02-17,98.0
2020-02-18,139.0
2020-02-19,115.0
2020-02-20,125.0
2020-02-21,4.0
2020-02-22,207.0
2020-02-23,11.0
2020-02-24,160.0
2020-02-25,79.0
2020-02-26,62.0
2020-02-27,44.0
2020-02-28,58.0
2020-02-29,69.0
2020-03-01,55.0
2020-03-02,89.0
2020-03-03,75.0
2020-03-04,94.0
2020-03-05,94.0
2020-03-06,112.0
2020-03-07,98.0
2020-03-08,245.0
2020-03-09,193.0
2020-03-10,266.0
2020-03-11,353.0
2020-03-12,105.0
2020-03-13,684.0
2020-03-14,415.0
2020-03-15,621.0
2020-03-16,686.0
2020-03-17,779.0
2020-03-18,828.0
2020-03-19,1134.0
2020-03-20,1432.0
2020-03-21,1674.0
